Respondent_ID,Company_Size,Role,Region,Tech_Comfort,Sys_Integration_Issue,Manual_Error_Freq,RealTime_Insights,Maintenance_Cost_USD,Monthly_Orders,Avg_Sync_Latency_min,Insight_Delay_hours,Personalization_Level,Interest_In_DataSync,Budget_Willing_USD
1,Small,Founder/Owner,UAE,Low,No,Medium,None,13727.0,2651,3.7,1.2,Segmented,Yes,10344.0
2,Large,CTO/Tech Lead,UAE,Low,Yes,High,Limited,26146.30559506627,9929,2.305812189874019,5.132812378614369,Basic,Yes,3072.0210489053034
3,Medium,CTO/Tech Lead,UAE,Low,Yes,High,Limited,22566.163809312162,14572,1.482307836347584,0.3019301399184923,Segmented,Maybe,13449.696224287398
4,Medium,Ops Manager,UAE,Medium,Yes,High,Limited,13250.559745719553,12427,1.1529060949370096,1.0567554897147229,Segmented,Yes,5671.32330139152
5,Small,Ops Manager,UAE,Medium,Yes,High,Limited,14370.658516622025,7405,15.152480104886411,2.1135109794294458,Basic,Yes,1988.5443584902068
6,Small,Data/Analytics,UAE,High,No,Medium,None,20171.0,19718,5.0,12.1,Segmented,No,2482.0
7,Small,CTO/Tech Lead,UAE,High,No,Medium,Limited,11685.0,12952,11.1,4.6,Segmented,No,3036.0
8,Large,CTO/Tech Lead,UAE,Medium,Yes,High,Available,15817.742643005342,16712,6.093932216095623,6.038602798369846,Basic,Yes,4685.515783790284
9,Medium,Ops Manager,GCC,Medium,Yes,High,Available,12687.031792656819,19451,4.282222638337465,0.6038602798369846,Basic,Yes,6073.7202933846265
10,Medium,Founder/Owner,GCC,Medium,No,High,Available,15826.0,1807,0.5,4.6,Segmented,Yes,1272.0
11,Small,CTO/Tech Lead,UAE,Medium,Yes,High,Limited,42419.0448816556,15352,7.411539181737919,6.944393218125322,Basic,Yes,7026.971420047908
12,Large,Founder/Owner,India,Medium,Yes,High,None,12129.069547772482,3160,5.764530474685048,4.2270219588588915,Segmented,Yes,3776.5413488026197
13,Large,Founder/Owner,GCC,Medium,Yes,Medium,Limited,18770.35083164515,10903,30.46966108047811,20.984144724335216,Basic,Yes,12827.218029553726
14,Small,Data/Analytics,UAE,Medium,No,Low,Available,23503.0,10738,1.1,1.2,Basic,Yes,4294.0
15,Small,Ops Manager,India,Medium,No,Low,Available,12941.0,6707,3.0,8.5,Basic,Yes,7875.0
16,Small,Ops Manager,Other,Medium,Yes,High,None,22276.746984035497,1640,6.917436569622058,11.171415176984215,Basic,Yes,11151.215024067873
17,Small,CTO/Tech Lead,UAE,Medium,Yes,Medium,Limited,12154.115234575269,2208,6.75273569891677,0.1,Segmented,Maybe,11001.455625753286
18,Medium,Founder/Owner,UAE,High,No,High,None,15856.0,4130,3.3,1.8,Basic,No,3703.0
19,Medium,Founder/Owner,India,High,No,Medium,Limited,12396.0,10985,6.0,11.3,Segmented,Maybe,3679.0
20,Small,Founder/Owner,India,Low,Yes,High,Limited,27573.9097428252,12521,1.482307836347584,0.4528952098777384,Hyper,Yes,5719.506759979691
21,Medium,CTO/Tech Lead,UAE,High,No,Low,Available,21482.0,17359,5.2,2.4,Segmented,No,6756.0
22,Small,Ops Manager,UAE,Medium,Yes,High,Available,52373.31395871931,8184,6.4233339575061965,17.511948115272553,Segmented,Yes,4957.687212031577
23,Small,Ops Manager,UAE,High,Yes,High,Limited,23439.979993320547,1707,14.987779234181126,3.6231616790219072,Basic,Yes,6029.44360170901
24,Small,Founder/Owner,UAE,High,No,Low,None,15219.0,13831,7.5,0.6,Basic,Maybe,5635.0
25,Medium,Data/Analytics,GCC,Medium,Yes,High,Limited,20092.206524014528,2460,2.4705130605793064,3.9250918189404,Segmented,Maybe,4070.85112288172
26,Medium,Ops Manager,UAE,Low,Yes,Medium,Limited,16140.55371735239,1057,2.1411113191687323,1.0567554897147229,Basic,Yes,3944.53232604246
27,Small,Ops Manager,UAE,Medium,Yes,Medium,Available,21284.659501236165,16383,26.352139312845935,3.3212315391034153,Segmented,Yes,5913.542849969895
28,Medium,Ops Manager,India,Medium,Yes,High,None,16517.630446438812,14393,4.941026121158613,0.3019301399184923,Basic,Yes,6318.544353238038
29,Medium,CTO/Tech Lead,UAE,Medium,No,High,None,14291.0,1382,9.5,2.8,Segmented,Maybe,6105.0
30,Small,Founder/Owner,UAE,Medium,Yes,High,Limited,31487.994019283153,5261,1.1529060949370096,3.3212315391034153,Hyper,Yes,8955.612019212282
31,Medium,CTO/Tech Lead,India,Low,No,Medium,None,8932.0,6367,4.1,4.0,Hyper,Maybe,2837.0
32,Small,Ops Manager,India,High,Yes,High,Limited,29327.107819020373,13369,10.870257466548948,4.528952098777385,Segmented,Yes,4264.887212871924
33,Small,Founder/Owner,GCC,High,Yes,Medium,Limited,31482.428311104755,7666,19.434702743223877,3.6231616790219072,Segmented,Maybe,3939.323303492388
34,Large,Founder/Owner,GCC,Medium,Yes,Medium,Limited,17730.95482932944,13482,2.6352139312845937,5.283777448573615,Segmented,Maybe,12969.163894043202
35,Large,Founder/Owner,UAE,Low,No,Medium,None,5717.0,8429,5.2,0.5,Segmented,Yes,4628.0
36,Large,Founder/Owner,UAE,Medium,Yes,Medium,Limited,14576.589719222728,5847,5.1057269918639,4.076056888899646,Basic,Maybe,6452.676683902407
37,Small,Data/Analytics,GCC,Low,No,Low,Available,22444.0,7769,0.5,0.6,Basic,Yes,5059.0
38,Small,Ops Manager,UAE,High,Yes,Medium,Limited,18419.711216406115,14027,7.740940923148494,11.775275456821198,Basic,Yes,4474.550370512345
